Part number,Part link,Package link,Product status,OPN,Infineon package,Package name,Qualification,VDS max,ID  (@25°C) max,Technology,VGS(th),RDS (on) (@10V) max,QG (typ @10V),Budgetary Price €/1k,Polarity,Datasheet link,VGS(th) min,VGS(th) max,RDS (on) (@4.5V) max,QG (typ @4.5V),QG (typ @4.5V) max,QG (typ @10V) max
BSS670S2L,https://www.infineon.com/part/BSS670S2L,https://www.infineon.com/package/PG-SOT23-3-5,active and preferred,BSS670S2LH6327XTSA1,PG-SOT23-3-5,SOT-23,Automotive,55 V,0.54 A,OptiMOS™,,650 mΩ,1.7 nC,0.03 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss670s2l-ds-en.pdf,1.2 V,2 V,,,,
BSL207SP,https://www.infineon.com/part/BSL207SP,https://www.infineon.com/package/PG-TSOP6-6-6,active and preferred,BSL207SPH6327XTSA1,PG-TSOP6-6,TSOP-6,Automotive,-20 V,6 A,OptiMOS™ P,,,,0.18 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsl207sp-ds-en.pdf,-0.6 V,-1.2 V,41 mΩ,,13.3 nC,
2N7002DW,https://www.infineon.com/part/2N7002DW,https://www.infineon.com/package/PG-SOT363-6-1,active and preferred,2N7002DWH6327XTSA1,PG-SOT363-6,SOT-363,Automotive,60 V,0.3 A,OptiMOS™,2.1 V,3000 mΩ,0.4 nC,0.04 ,N+N,https://www.infineon.com/assets/row/public/documents/24/49/2n7002dw-rev2-3.pdf,1.5 V,2.5 V,,,,
BSS83P,https://www.infineon.com/part/BSS83P,https://www.infineon.com/package/PG-SOT23-3-5,active and preferred,BSS83PH6327XTSA1,PG-SOT23-3,SOT-23,Automotive,-60 V,0.33 A,Small Signal,,2000 mΩ,2.38 nC,0.05 ,P,https://www.infineon.com/assets/row/public/documents/24/49/bss83p-rev1-6.pdf,-1 V,-2 V,,,,
BSS316N,https://www.infineon.com/part/BSS316N,https://www.infineon.com/package/PG-SOT23-3-5,active and preferred,BSS316NH6327XTSA1,PG-SOT23-3-5,SOT-23,Automotive,30 V,1.4 A,OptiMOS™,,160 mΩ,,0.03 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss316n-ds-en.pdf,1.2 V,2 V,,,0.6 nC,
BSP316P,https://www.infineon.com/part/BSP316P,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,BSP316PH6327XTSA1,PG-SOT223-4,SOT-223,Automotive,-100 V,0.68 A,Small Signal,,1800 mΩ,-5.1 nC,0.19 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsp316p-ds-en.pdf,-1 V,-2 V,,,,
BSP88,https://www.infineon.com/part/BSP88,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,BSP88H6327XTSA1,PG-SOT223-4,SOT-223,Automotive,240 V,0.35 A,Small Signal,,6000 mΩ,4.5 nC,0.14 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsp88-ds-en.pdf,0.6 V,1.4 V,,,,
BSP89,https://www.infineon.com/part/BSP89,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,BSP89H6327XTSA1,PG-SOT223-4,SOT-223,Automotive,240 V,0.35 A,Small Signal,,6000 mΩ,4.3 nC,0.15 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsp89-ds-en.pdf,0.8 V,1.8 V,,,,
BSP315P,https://www.infineon.com/part/BSP315P,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,BSP315PH6327XTSA1,PG-SOT223-4,SOT-223,Automotive,-60 V,1.17 A,Small Signal,,800 mΩ,5.2 nC,0.19 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsp315p-ds-en.pdf,-1 V,-2 V,,,,
BSS192P,https://www.infineon.com/part/BSS192P,https://www.infineon.com/package/PG-SOT89-4-2,active and preferred,BSS192PH6327FTSA1,PG-SOT89-4,SOT-89,Automotive,-250 V,0.19 A,Small Signal,,12000 mΩ,-4.9 nC,0.13 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss192p-ds-en.pdf,-1 V,-2 V,,,,
BSR316P,https://www.infineon.com/part/BSR316P,https://www.infineon.com/package/PG-SC59-3-3,active and preferred,BSR316PH6327XTSA1,PG-SC59-3,SC-59,Automotive,-100 V,0.36 A,Small Signal,,1800 mΩ,5.3 nC,0.12 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsr316p-datasheet-en.pdf,-2 V,-1 V,,,,
BSS816NW,https://www.infineon.com/part/BSS816NW,https://www.infineon.com/package/PG-SOT323-3-2,active and preferred,BSS816NWH6327XTSA1,PG-SOT323-3,SOT-323,Automotive,20 V,1.4 A,OptiMOS™,,,,0.04 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss816nw-ds-en.pdf,0.3 V,0.75 V,,,,
SN7002N,https://www.infineon.com/part/SN7002N,https://www.infineon.com/package/PG-SOT23-3-5,active and preferred,SN7002NH6327XTSA2,PG-SOT23-3,SOT-23,Automotive,60 V,,Small Signal,,5000 mΩ,0.2 nC,0.03 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-sn7002n-datasheet-en.pdf,0.8 V,1.8 V,,,,
BSV236SP,https://www.infineon.com/part/BSV236SP,https://www.infineon.com/package/PG-SOT363-6-6,active and preferred,BSV236SPH6327XTSA1,PG-SOT363-6,SOT-363,Automotive,-20 V,1.5 A,OptiMOS™ P,,,,0.06 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsv236sp-ds-en.pdf,-0.6 V,-1.2 V,,,3.8 nC,
BSP373N,https://www.infineon.com/part/BSP373N,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,BSP373NH6327XTSA1,PG-SOT223-4,SOT-223,Automotive,100 V,1.8 A,OptiMOS™,,240 mΩ,6.2 nC,0.19 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsp373n-datasheet-en.pdf,2.1 V,4 V,,,,
BSP296N,https://www.infineon.com/part/BSP296N,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,BSP296NH6327XTSA1,PG-SOT223-4,SOT-223,Automotive,100 V,1.2 A,OptiMOS™,,600 mΩ,4.5 nC,0.19 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsp296n-ds-en.pdf,0.8 V,1.8 V,,,,
BSP322P,https://www.infineon.com/part/BSP322P,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,BSP322PH6327XTSA1,PG-SOT223-4,SOT-223,Automotive,-100 V,1 A,Small Signal,,800 mΩ,12.4 nC,0.22 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsp322p-ds-v01-06-en.pdf,-2 V,-1 V,,,,
BSS225,https://www.infineon.com/part/BSS225,https://www.infineon.com/package/PG-SOT89-4-2,active and preferred,BSS225H6327FTSA1,PG-SOT89-4,SOT-89,Automotive,600 V,0.09 A,Small Signal,,45000 mΩ,3.9 nC,0.14 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss225-datasheet-en.pdf,1.3 V,2.3 V,,,,
BSL202SN,https://www.infineon.com/part/BSL202SN,https://www.infineon.com/package/PG-TSOP6-6-6,active and preferred,BSL202SNH6327XTSA1,PG-TSOP6-6,TSOP-6,Automotive,20 V,7.5 A,OptiMOS™,,,,0.16 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsl202sn-ds-en.pdf,0.7 V,1.2 V,22 mΩ,,5.8 nC,
BSS123N,https://www.infineon.com/part/BSS123N,https://www.infineon.com/package/PG-SOT23-3-5,active and preferred,BSS123NH6327XTSA1,PG-SOT23-3,SOT-23,Automotive,100 V,0.19 A,OptiMOS™,,6000 mΩ,0.9 nC,0.04 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss123n-datasheet-en.pdf,0.8 V,1.8 V,,,,
BSS308PE,https://www.infineon.com/part/BSS308PE,https://www.infineon.com/package/PG-SOT23-3-5,active and preferred,BSS308PEH6327XTSA1,PG-SOT23-3-5,SOT-23,Automotive,-30 V,2 A,OptiMOS™ P,-1.5 V,80 mΩ,-5 nC,0.06 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss308pe-ds-en.pdf,-2 V,-1 V,,,,
BSD223P,https://www.infineon.com/part/BSD223P,https://www.infineon.com/package/PG-SOT363-6-1,active and preferred,BSD223PH6327XTSA1,PG-SOT363-6,SOT-363,Automotive,-20 V,0.39 A,OptiMOS™ P,-0.9 V,,,0.05 ,P+P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsd223p-ds-en.pdf,-0.6 V,-1.2 V,1200 mΩ,,,
ISP650P06NM,https://www.infineon.com/part/ISP650P06NM,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,ISP650P06NMXTSA1,PG-SOT223-4,SOT-223,Industrial,-60 V,-3.7 A,OptiMOS™,,65 mΩ,-39 nC,0.43 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isp650p06nm-ds-en.pdf,-2.1 V,-4 V,,,,
ISP12DP06NM,https://www.infineon.com/part/ISP12DP06NM,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,ISP12DP06NMXTSA1,PG-SOT223-4,SOT-223,Industrial,-60 V,-2.8 A,OptiMOS™,,125 mΩ,-20.2 nC,0.24 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isp12dp06nm-ds-en.pdf,-2.1 V,-4 V,,,,
ISP75DP06LM,https://www.infineon.com/part/ISP75DP06LM,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,ISP75DP06LMXTSA1,PG-SOT223-4,SOT-223,Industrial,-60 V,-1.1 A,OptiMOS™,,750 mΩ,-4 nC,0.1 ,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-isp75dp06lm-ds-en.pdf,-1 V,-2 V,1000 mΩ,,,
BSS138I,https://www.infineon.com/part/BSS138I,https://www.infineon.com/package/PG-SOT23-3-18,active and preferred,BSS138IXUSA1,PG-SOT23-3,SOT-23,Industrial,60 V,0.23 A,Small Signal,1 V,3500 mΩ,1 nC,0.03 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss138i-datasheet-en.pdf,0.6 V,1.4 V,6000 mΩ,,,
SN7002I,https://www.infineon.com/part/SN7002I,https://www.infineon.com/package/PG-SOT23-3-18,active and preferred,SN7002IXUSA1,PG-SOT23-3,SOT-23,Industrial,60 V,0.2 A,Small Signal,1.4 V,5000 mΩ,0.9 nC,0.03 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-sn7002i-datasheet-en.pdf,0.8 V,1.8 V,7500 mΩ,,,
BSS123I,https://www.infineon.com/part/BSS123I,https://www.infineon.com/package/PG-SOT23-3-5,active and preferred,BSS123IXTSA1,PG-SOT23-3,SOT-23,Industrial,100 V,0.19 A,OptiMOS™,1.4 V,6000 mΩ,0.63 nC,0.02 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss123i-datasheet-en.pdf,0.8 V,1.8 V,10000 mΩ,,,
BSS127I,https://www.infineon.com/part/BSS127I,https://www.infineon.com/package/PG-SOT23-3-5,active and preferred,BSS127IXTSA1,PG-SOT23-3,SOT-23,Industrial,600 V,0.021 A,Small Signal,2 V,500000 mΩ,0.65 nC,0.04 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss127i-datasheet-en.pdf,1.4 V,2.6 V,600000 mΩ,,,
BSP171I,https://www.infineon.com/part/BSP171I,https://www.infineon.com/package/PG-SOT223-4-32,active and preferred,BSP171IATMA1,PG-SOT223-4,,Industrial,-60 V,,Small Signal,,250 mΩ,-13.9 nC,,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsp171i-datasheet-en.pdf,-1 V,-2 V,310 mΩ,-6.7 nC,,
BSP170I,https://www.infineon.com/part/BSP170I,https://www.infineon.com/package/PG-SOT223-4-32,active and preferred,BSP170IATMA1,PG-SOT223-4,,Industrial,-60 V,-3.2 A,Small Signal,,260 mΩ,-10.8 nC,,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsp170i-datasheet-en.pdf,"-2.1 V, -2.1 V","-4 V, -4 V",,,,
BSS131I,https://www.infineon.com/part/BSS131I,https://www.infineon.com/package/PG-SOT23-3-18,active and preferred,BSS131IXUSA1,PG-SOT23-3,SOT-23,Industrial,240 V,0.121 A,Small Signal,1.4 V,14000 mΩ,1.96 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss131i-datasheet-en.pdf,0.8 V,1.8 V,20000 mΩ,1.11 nC,,
BSS84I,https://www.infineon.com/part/BSS84I,https://www.infineon.com/package/PG-SOT23-3-18,active and preferred,BSS84IXUSA1,PG-SOT23-3,SOT-23,Industrial,-60 V,-0.29 A,Small Signal,,5500 mΩ,-0.59 nC,,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss84i-datasheet-en.pdf,-1 V,-2 V,7000 mΩ,-0.29 nC,,
BSS83I,https://www.infineon.com/part/BSS83I,https://www.infineon.com/package/PG-SOT23-3-18,active and preferred,BSS83IXUSA1,PG-SOT23-3,SOT-23,Industrial,-60 V,-0.55 A,Small Signal,,1700 mΩ,-1.79 nC,,P,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss83i-datasheet-en.pdf,-1 V,-2 V,2200 mΩ,-0.87 nC,,
BSS159N,https://www.infineon.com/part/BSS159N,https://www.infineon.com/package/PG-SOT23-3-5,active and preferred,BSS159NH6327XTSA2,PG-SOT23-3,SOT-23,Automotive,60 V,0.23 A,SIPMOS™,-2.8 V,3500 mΩ,,0.08 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss159n-ds-en.pdf,-3.5 V,-2.4 V,,2.2 nC,,
BSS126,https://www.infineon.com/part/BSS126,https://www.infineon.com/package/PG-SOT23-3-5,active and preferred,BSS126H6327XTSA2,PG-SOT23-3,SOT-23,Automotive,600 V,0.06 A,SIPMOS™,-2 V,500000 mΩ,,0.1 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss126-ds-en.pdf,-2.7 V,-1.6 V,,1.42 nC,,
BSP149,https://www.infineon.com/part/BSP149,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,BSP149H6327XTSA1,PG-SOT223-4,SOT-223,Automotive,200 V,0.66 A,SIPMOS™,-1.4 V,1800 mΩ,,0.34 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsp149-ds-en.pdf,-2.1 V,-1 V,,11 nC,,
BSS139,https://www.infineon.com/part/BSS139,https://www.infineon.com/package/PG-SOT23-3-5,active and preferred,BSS139H6327XTSA1,PG-SOT23-3,SOT-23,Automotive,250 V,0.1 A,SIPMOS™,-1.4 V,14000 mΩ,,0.1 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss139-ds-en.pdf,-2.1 V,-1 V,,2.3 nC,,
BSP135,https://www.infineon.com/part/BSP135,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,BSP135H6327XTSA1,PG-SOT223-4,SOT-223,Automotive,600 V,0.12 A,SIPMOS™,-1.4 V,45000 mΩ,,"0.37, 0.62",N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsp135-ds-en.pdf,-2.1 V,-1 V,,3.7 nC,,
BSS169,https://www.infineon.com/part/BSS169,https://www.infineon.com/package/PG-SOT23-3-5,active and preferred,BSS169H6327XTSA1,PG-SOT23-3,SOT-23,Automotive,100 V,0.17 A,SIPMOS™,-2.2 V,6000 mΩ,,0.09 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss169-ds-en.pdf,-2.9 V,-1.8 V,,2.1 nC,,
BSP129,https://www.infineon.com/part/BSP129,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,BSP129H6327XTSA1,PG-SOT223-4,SOT-223,Automotive,240 V,0.35 A,SIPMOS™,-1.4 V,6000 mΩ,,0.19 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsp129-ds-en.pdf,-2.1 V,-1 V,,3.8 nC,,
BSS126I,https://www.infineon.com/part/BSS126I,https://www.infineon.com/package/PG-SOT23-3-5,active and preferred,BSS126IXTSA1,PG-SOT23-3,SOT-23,Industrial,600 V,0.021 A,SIPMOS™,-2 V,500000 mΩ,,0.04 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss126i-datasheet-en.pdf,-2.7 V,-1.6 V,,1.4 nC,,
BSP135I,https://www.infineon.com/part/BSP135I,https://www.infineon.com/package/PG-SOT223-4-21,active and preferred,BSP135IXTSA1,PG-SOT223-4,SOT-223,Industrial,600 V,0.12 A,SIPMOS™,-1.4 V,45000 mΩ,,0.13 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bsp135i-datasheet-en.pdf,-2.1 V,-1 V,,3.7 nC,,
BSS169I,https://www.infineon.com/part/BSS169I,https://www.infineon.com/package/PG-SOT23-3-18,active and preferred,BSS169IXUSA1,PG-SOT23-3,SOT-23,Industrial,100 V,0.19 A,SIPMOS™,-2.2 V,,,0.05 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss169i-datasheet-en.pdf,-2.9 V,-1.8 V,,2.1 nC,,
BSS139I,https://www.infineon.com/part/BSS139I,https://www.infineon.com/package/PG-SOT23-3-18,active and preferred,BSS139IXUSA1,PG-SOT23-3,SOT-23,Industrial,250 V,0.1 A,SIPMOS™,-1.4 V,14000 mΩ,,0.05 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-bss139i-datasheet-en.pdf,-2.1 V,-1 V,,2.3 nC,,
IPB35N10S3L-26,https://www.infineon.com/part/IPB35N10S3L-26,https://www.infineon.com/package/PG-TO263-3-2,active and preferred,IPB35N10S3L26ATMA2,PG-TO263-3,D2PAK,Automotive,100 V,35 A,OptiMOS™-T,1.7 V,26.3 mΩ,30 nC,"0.75, 0.75",N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipb35n10s3l-26-datasheet-en.pdf,1.2 V,2.4 V,,,,39 nC
IPB80N06S4-05,https://www.infineon.com/part/IPB80N06S4-05,https://www.infineon.com/package/PG-TO263-3-2,active and preferred,IPB80N06S405ATMA2,PG-TO263-3,D2PAK,Automotive,60 V,80 A,OptiMOS™-T2,3 V,5.4 mΩ,62 nC,0.65 ,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-i80n06s4-05-ds-en.pdf,2 V,4 V,,,,81 nC
IPD90N04S4-04,https://www.infineon.com/part/IPD90N04S4-04,https://www.infineon.com/package/PG-TO252-3-313,active and preferred,IPD90N04S404ATMA1,PG-TO252-3,DPAK,Automotive,40 V,90 A,OptiMOS™-T2,3 V,4.1 mΩ,33 nC,0.32 ,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipd90n04s4-04-ds-en.pdf,2 V,4 V,,,,43 nC
IPD90P04P4L-04,https://www.infineon.com/part/IPD90P04P4L-04,https://www.infineon.com/package/PG-TO252-3-313,active and preferred,IPD90P04P4L04ATMA2,PG-TO252-3,DPAK,Automotive,-40 V,-90 A,OptiMOS™-P2,-1.7 V,4.3 mΩ,135 nC,0.71 ,P,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipd90p04p4l-04-datasheet-en.pdf,-1.2 V,-2.2 V,,,,176 nC
IPB180N10S4-02,https://www.infineon.com/part/IPB180N10S4-02,https://www.infineon.com/package/PG-TO263-7-3,active and preferred,IPB180N10S402ATMA1,PG-TO263-7,D2PAK7P,Automotive,100 V,180 A,OptiMOS™-T2,2.7 V,2.5 mΩ,156 nC,2.11 ,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipb180n10s4-02-datasheet-en.pdf,2 V,3.5 V,,,,200 nC
IPG20N10S4L-22A,https://www.infineon.com/part/IPG20N10S4L-22A,https://www.infineon.com/package/PG-TDSON-8-10,active and preferred,IPG20N10S4L22AATMA1,PG-TDSON-8,Dual SSO8,Automotive,100 V,20 A,OptiMOS™-T2,1.6 V,22 mΩ,21 nC,0.58 ,N+N,https://www.infineon.com/assets/row/public/documents/10/49/ipg20n10s4l-22a-ds-1-0.pdf,1.1 V,2.1 V,,,,27 nC
IPB80N06S2L-06,https://www.infineon.com/part/IPB80N06S2L-06,https://www.infineon.com/package/PG-TO263-3-2,active and preferred,IPB80N06S2L06ATMA2,PG-TO263-3,D2PAK,Automotive,55 V,80 A,OptiMOS™,1.6 V,6 mΩ,114 nC,1.12 ,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipb80n06s2l-06-datasheet-en.pdf,1.2 V,2 V,,,,150 nC
IPB80N04S2-H4,https://www.infineon.com/part/IPB80N04S2-H4,https://www.infineon.com/package/PG-TO263-3-2,active and preferred,IPB80N04S2H4ATMA2,PG-TO263-3,D2PAK,Automotive,40 V,80 A,OptiMOS™,3 V,3.7 mΩ,103 nC,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipb80n04s2-h4-datasheet-en.pdf,2.1 V,4 V,,,,148 nC
IPB80N06S2L-11,https://www.infineon.com/part/IPB80N06S2L-11,https://www.infineon.com/package/PG-TO263-3-2,active and preferred,IPB80N06S2L11ATMA2,PG-TO263-3,D2PAK,Automotive,55 V,80 A,OptiMOS™,1.6 V,10.7 mΩ,62 nC,0.76 ,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipp-b-i80n06s2l-11-ds-en.pdf,1.2 V,2 V,,,,80 nC
IPD22N08S2L-50,https://www.infineon.com/part/IPD22N08S2L-50,https://www.infineon.com/package/PG-TO252-3-11,active and preferred,IPD22N08S2L50ATMA1,PG-TO252-3,DPAK,Automotive,75 V,27 A,OptiMOS™,1.6 V,50 mΩ,21 nC,0.48 ,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipd22n08s2l-50-ds-en.pdf,1.2 V,2 V,,,,33 nC
IPD70N10S3L-12,https://www.infineon.com/part/IPD70N10S3L-12,https://www.infineon.com/package/PG-TO252-3-11,active and preferred,IPD70N10S3L12ATMA2,PG-TO252-3,DPAK,Automotive,100 V,70 A,OptiMOS™-T,1.7 V,11.5 mΩ,59 nC,"0.87, 0.87",N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipd70n10s3l-12-datasheet-en.pdf,1.2 V,2.4 V,,,,77 nC
IPD90N06S4-04,https://www.infineon.com/part/IPD90N06S4-04,https://www.infineon.com/package/PG-TO252-3-11,active and preferred,IPD90N06S404ATMA2,PG-TO252-3,DPAK,Automotive,60 V,90 A,OptiMOS™-T2,3 V,3.8 mΩ,99 nC,0.67 ,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipd90n06s4-04-ds-en.pdf,2 V,4 V,,,,128 nC
IPB180P04P4L-02,https://www.infineon.com/part/IPB180P04P4L-02,https://www.infineon.com/package/PG-TO263-7-3,active and preferred,IPB180P04P4L02ATMA2,PG-TO263-7,D2PAK7P,Automotive,-40 V,-180 A,OptiMOS™-P2,-1.7 V,2.4 mΩ,220 nC,1.28 ,P,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipb180p04p4l-02-datasheet-en.pdf,-1.2 V,-2.2 V,,,,286 nC
IPI120N04S4-01,https://www.infineon.com/part/IPI120N04S4-01,https://www.infineon.com/package/PG-TO262-3-1,active and preferred,IPI120N04S401AKSA1,PG-TO262-3,I2PAK,Automotive,40 V,120 A,OptiMOS™-T2,3 V,1.5 mΩ,135 nC,1.08 ,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipp-b-i120n04s4-01-ds-en.pdf,2 V,4 V,,,,176 nC
IPD70P04P4L-08,https://www.infineon.com/part/IPD70P04P4L-08,https://www.infineon.com/package/PG-TO252-3-313,active and preferred,IPD70P04P4L08ATMA2,PG-TO252-3,DPAK,Automotive,-40 V,-70 A,OptiMOS™-P2,-1.7 V,7.8 mΩ,71 nC,0.45 ,P,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipd70p04p4l-08-datasheet-en.pdf,-1.2 V,-2.2 V,,,,92 nC
IPG20N10S4L-35A,https://www.infineon.com/part/IPG20N10S4L-35A,https://www.infineon.com/package/PG-TDSON-8-10,active and preferred,IPG20N10S4L35AATMA1,PG-TDSON-8,Dual SSO8,Automotive,100 V,20 A,OptiMOS™-T2,1.6 V,35 mΩ,13.4 nC,0.45 ,N+N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipg20n10s4l-35a-datasheet-en.pdf,1.1 V,2.1 V,,,,17.4 nC
IPG16N10S4-61A,https://www.infineon.com/part/IPG16N10S4-61A,https://www.infineon.com/package/PG-TDSON-8-10,active and preferred,IPG16N10S461AATMA1,PG-TDSON-8,Dual SSO8,Automotive,100 V,16 A,OptiMOS™-T2,2.8 V,61 mΩ,5.4 nC,0.33 ,N+N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipg16n10s4-61a-datasheet-en.pdf,2 V,3.5 V,,,,9.5 nC
IPD15N06S2L-64,https://www.infineon.com/part/IPD15N06S2L-64,https://www.infineon.com/package/PG-TO252-3-11,active and preferred,IPD15N06S2L64ATMA2,PG-TO252-3,DPAK,Automotive,55 V,19 A,OptiMOS™,1.6 V,64 mΩ,11 nC,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipd15n06s2l-64-ds-en.pdf,1.2 V,2 V,,,,13 nC
IPD30N08S2-22,https://www.infineon.com/part/IPD30N08S2-22,https://www.infineon.com/package/PG-TO252-3-11,active and preferred,IPD30N08S222ATMA1,PG-TO252-3,DPAK,Automotive,75 V,30 A,OptiMOS™,3.1 V,21.5 mΩ,44 nC,0.58 ,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipd30n08s2-22-ds-en.pdf,2.1 V,4 V,,,,57 nC
IPB120N04S4-02,https://www.infineon.com/part/IPB120N04S4-02,https://www.infineon.com/package/PG-TO263-3-2,active and preferred,IPB120N04S402ATMA1,PG-TO263-3,D2PAK,Automotive,40 V,120 A,OptiMOS™-T2,3 V,1.8 mΩ,103 nC,0.89 ,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipp-b-i120n04s4-02-ds-en.pdf,2 V,4 V,,,,134 nC
IPP120N04S4-02,https://www.infineon.com/part/IPP120N04S4-02,https://www.infineon.com/package/PG-TO220-3-1,active and preferred,IPP120N04S402AKSA1,PG-TO220-3,TO220,Automotive,40 V,120 A,OptiMOS™-T2,3 V,1.8 mΩ,103 nC,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipp-b-i120n04s4-02-ds-en.pdf,2 V,4 V,,,,134 nC
IPI80N06S4-07,https://www.infineon.com/part/IPI80N06S4-07,https://www.infineon.com/package/PG-TO262-3-1,active and preferred,IPI80N06S407AKSA2,PG-TO262-3,I2PAK,Automotive,60 V,80 A,OptiMOS™-T2,3 V,7.1 mΩ,43 nC,0.65 ,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-i80n06s4-07-ds-en.pdf,2 V,4 V,,,,56 nC
IPB80N04S4-04,https://www.infineon.com/part/IPB80N04S4-04,https://www.infineon.com/package/PG-TO263-3-2,active and preferred,IPB80N04S404ATMA1,PG-TO263-3,D2PAK,Automotive,40 V,80 A,OptiMOS™-T2,3 V,4.2 mΩ,33 nC,0.56 ,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipp-b-i80n04s4-04-ds-en.pdf,2 V,4 V,,,,43 nC
IPB90N04S4-02,https://www.infineon.com/part/IPB90N04S4-02,https://www.infineon.com/package/PG-TO263-3-2,active and preferred,IPB90N04S402ATMA1,PG-TO263-3,D2PAK,Automotive,40 V,90 A,OptiMOS™-T2,3 V,2.1 mΩ,91 nC,0.82 ,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-ipp-b-i90n04s4-02-ds-en.pdf,2 V,4 V,,,,118 nC
