Product,Data Sheet,Product Status,OPN,Standard Package name,Qualification,VDS max [V],RDS (on) @10V max [Ω],ID  @25°C max [A],Technology,Topology,VGS(th) [V],VGS(th) min [V],VGS(th) max [V],RDS (on) @4.5V max [Ω],QG typ @10V [C],QG typ @10V max [C],QG typ @4.5V [C],QG typ @4.5V max [C],Online Simulation,Simulation Model,Driver Selection,Budgetary Price €/1k,Polarity
IAUMN08S5N013G,https://www.infineon.com/dgdl/Infineon-IAUMN08S5N013G-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c8eeb092c018f2f29b336110c,active and preferred,IAUMN08S5N013GAUMA1,mTOLG,Automotive,80,1.3,250,OptiMOS™-5,,,,,,138,,,,,,,,N
IAUMN08S5N012G,https://www.infineon.com/dgdl/Infineon-IAUMN08S5N012G-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c8eeb092c018f2f29a3b01109,active and preferred,IAUMN08S5N012GAUMA1,mTOLG,Automotive,80,1.2,300,OptiMOS™-5,,,,,,149,,,,,,,,N
IAUAN04S7N008,https://www.infineon.com/dgdl/Infineon-IAUAN04S7N008-DataSheet--DataSheet-v01_00-EN.pdf?fileId=8ac78c8c8eeb092c018f190fa99f121f,active and preferred,IAUAN04S7N008AUMA1,sTOLL,Automotive,40,0.82,180,OptiMOS™-7,,2.6,2.2,3,,60,78.0,,,,,,,N
IPP020N03LF2S,https://www.infineon.com/dgdl/Infineon-IPP020N03LF2S-DataSheet-v02_01-EN.pdf?fileId=8ac78c8c901008d101902fe2ba53256d,active and preferred,IPP020N03LF2SAKSA1,TO220,Standard,30,2.05,125,StrongIRFET™ 2,,1.85,1.35,2.35,3,69,,33,,,,,,N
IPP023N03LF2S,https://www.infineon.com/dgdl/Infineon-IPP023N03LF2S-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c901008d1019030cc55232b27,active and preferred,IPP023N03LF2SAKSA1,TO220,Standard,30,2.35,121,StrongIRFET™ 2,,1.85,1.35,2.35,3.5,50,,24,,,,,,N
IAUCN10S5L280D,https://www.infineon.com/dgdl/Infineon-IAUCN10S5L280D-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c914a3ac801918ebcc14355f6,active and preferred,IAUCN10S5L280DATMA1,Dual SSO8,Automotive,100,28,20,OptiMOS™-5,,,,,,7.6,,,,,,,,N+N
IAUTN08S5N012L,https://www.infineon.com/dgdl/Infineon-IAUTN08S5N012L-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c8eeb092c018ef669549208cf,active and preferred,IAUTN08S5N012LATMA1,TOLL,Automotive,80,1.15,300,OptiMOS™-5,,,,,,178,231.0,,,,,,,N
IAUAN04S7N005,https://www.infineon.com/dgdl/Infineon-IAUAN04S7N005-DataSheet-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c8eeb092c018f19068b361215,active and preferred,IAUAN04S7N005AUMA1,sTOLL,Automotive,40,0.51,250,OptiMOS™-7,,2.6,2.2,3,,110,143.0,,,,,,,N
IAUAN04S7N004,https://www.infineon.com/dgdl/Infineon-IAUAN04S7N004-Data-Sheet-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c8eeb092c018f190682281212,active and preferred,IAUAN04S7N004AUMA1,sTOLL,Automotive,40,0.39,280,OptiMOS™-7,,2.6,2.2,3,,144,190.0,,,,,,,N
IAUCN04S7N040D,https://www.infineon.com/dgdl/Infineon-IAUCN04S7N040D-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c914a3ac801918ebce4cb55ff,active and preferred,IAUCN04S7N040DATMA1,Dual SSO8,Automotive,40,4.04,60,OptiMOS™-7,,2.6,2.2,3,,13,17.0,,,,,,,N+N
FF2000UXTR33T2M1,https://www.infineon.com/dgdl/Infineon-FF2000UXTR33T2M1-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c8fc2dd9c018fe343fe205dbb,active and preferred,FF2000UXTR33T2M1BPSA1,,Industrial,,,,CoolSiC™ G1,,,,,,,,,,https://www.infineon.com/iposim,/cms/en/product/power/mosfet/silicon-carbide/modules/ff2000uxtr33t2m1/#!simulation,5546d4694909da48014909dc0bb301f2=FF2000UXTR33T2M1|5546d4694909da48014909dc0f5e0238=CoolSiC MOSFET|5546d4624933b8750149389ffe6022e2=0.75,,
AIMCQ120R040M1T,https://www.infineon.com/dgdl/Infineon-AIMCQ120R040M1T-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c90530b3a01910fe644396b1e,active and preferred,AIMCQ120R040M1TXTMA1,Q-DPAK,"Automotive
",1200,,61,"CoolSiC™ G1
",,,,,,,,,,,,,,N
AIMCQ120R020M1T,https://www.infineon.com/dgdl/Infineon-AIMCQ120R020M1T-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c90530b3a01910fe6397a6b18,active and preferred,AIMCQ120R020M1TXTMA1,Q-DPAK,"Automotive
",1200,,116,"CoolSiC™ G1
",,,,,,,,,,,,,,"N
"
AIMCQ120R060M1T,https://www.infineon.com/dgdl/Infineon-AIMCQ120R060M1T-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c90530b3a01910fe6494e6b21,active and preferred,AIMCQ120R060M1TXTMA1,Q-DPAK,"Automotive
",1200,,44,"CoolSiC™ G1
",,,,,,,,,,,,,,N
AIMCQ120R030M1T,https://www.infineon.com/dgdl/Infineon-AIMCQ120R030M1T-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c90530b3a01910fe63fbc6b1b,active and preferred,AIMCQ120R030M1TXTMA1,Q-DPAK,"Automotive
",1200,,78,"CoolSiC™ G1
",,,,,,,,,,,,,,"N
"
AIMCQ120R160M1T,https://www.infineon.com/dgdl/Infineon-AIMCQ120R160M1T-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c90530b3a01910fe657236b2a,active and preferred,AIMCQ120R160M1TXTMA1,Q-DPAK,"Automotive
",1200,,18.6,"CoolSiC™ G1
",,,,,,,,,,,,,,N
AIMCQ120R080M1T,https://www.infineon.com/dgdl/Infineon-AIMCQ120R080M1T-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c90530b3a01910fe64e446b24,active and preferred,AIMCQ120R080M1TXTMA1,Q-DPAK,"Automotive
",1200,,34,"CoolSiC™ G1
",,,,,,,,,,,,,,N
AIMCQ120R120M1T,https://www.infineon.com/dgdl/Infineon-AIMCQ120R120M1T-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c90530b3a01910fe652966b27,active and preferred,AIMCQ120R120M1TXTMA1,Q-DPAK,"Automotive
",1200,,24,"CoolSiC™ G1
",,,,,,,,,,,,,,N
IQDH35N03LM5SC,https://www.infineon.com/dgdl/Infineon-IQDH35N03LM5SC-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c919c9f9d0191b2c4bc110e87,active and preferred,IQDH35N03LM5SCATMA1,,Industrial,30,0.35,,OptiMOS™ 5,,1.6,1.2,2,0.4,197,,91,,,,,,N
IQDH88N06LM5CGSC,https://www.infineon.com/dgdl/Infineon-IQDH88N06LM5CGSC-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c919c9f9d0191b6a49ff05e8f,active and preferred,IQDH88N06LM5CGSCATMA1,,Industrial,60,0.86,,OptiMOS™ 5,,1.7,1.1,2.3,1.24,152,,76,,,,,,N
IQD020N10NM5CGSC,https://www.infineon.com/dgdl/Infineon-IQD020N10NM5CGSC-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c919c9f9d0191b723eb9364b8,active and preferred,IQD020N10NM5CGSCATMA1,,Industrial,100,2.05,,OptiMOS™ 5,,3,2.2,3.8,,107,,,,,,,,N
IQD063N15NM5CGSC,https://www.infineon.com/dgdl/Infineon-IQD063N15NM5CGSC-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c919c9f9d0191b78020eb6b3e,active and preferred,IQD063N15NM5CGSCATMA1,,Industrial,150,6.32,,OptiMOS™ 5,,3.8,3,4.6,,48,,,,,,,,N
IQDH45N04LM6CGSC,https://www.infineon.com/dgdl/Infineon-IQDH45N04LM6CGSC-DataSheet-v02_01-EN.pdf?fileId=8ac78c8c9197e8e70191982493b104c7,active and preferred,IQDH45N04LM6CGSCATMA1,,Industrial,40,0.49,,OptiMOS™ 6,,1.6,1.3,2.3,0.58,129,,62,,,,,,N
IQD005N04NM6CGSC,https://www.infineon.com/dgdl/Infineon-IQD005N04NM6CGSC-DataSheet-v02_01-EN.pdf?fileId=8ac78c8c914a3ac8019169e6d0105447,active and preferred,IQD005N04NM6CGSCATMA1,,Industrial,40,0.49,,OptiMOS™ 6,,2.3,1.8,2.8,,130,,,,,,,,N
IQD009N06NM5CGSC,https://www.infineon.com/dgdl/Infineon-IQD009N06NM5CGSC-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c919c9f9d0191b2e911db0ff1,active and preferred,IQD009N06NM5CGSCATMA1,,Industrial,60,0.9,,OptiMOS™ 5,,2.8,2.1,3.3,,120,,,,,,,,N
IQD016N08NM5CGSC,https://www.infineon.com/dgdl/Infineon-IQD016N08NM5CGSC-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c919c9f9d0191b6de11e05fb1,active and preferred,IQD016N08NM5CGSCATMA1,,Industrial,80,1.57,,OptiMOS™ 5,,3,2.2,3.8,,106,,,,,,,,N
IQDH29NE2LM5CGSC,https://www.infineon.com/dgdl/Infineon-IQDH29NE2LM5CGSC-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c90530b3a0191465169fe380d,active and preferred,IQDH29NE2LM5CGSCATMA1,,Industrial,25,0.29,,OptiMOS™ 5,,1.6,1.2,2,0.35,191,,88,,,,,,N
IQDH35N03LM5CGSC,https://www.infineon.com/dgdl/Infineon-IQDH35N03LM5CGSC-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c919c9f9d0191b2c293450e35,active and preferred,IQDH35N03LM5CGSCATMA1,,Industrial,30,0.35,,OptiMOS™ 5,,1.6,1.2,2,0.4,197,,91,,,,,,N
IQD005N04NM6SC,https://www.infineon.com/dgdl/Infineon-IQD005N04NM6SC-DataSheet-v02_01-EN.pdf?fileId=8ac78c8c914a3ac8019169effe56544b,active and preferred,IQD005N04NM6SCATMA1,,Industrial,40,0.49,,OptiMOS™ 6,,2.3,1.8,2.8,,130,,,,,,,,N
IQDH45N04LM6SC,https://www.infineon.com/dgdl/Infineon-IQDH45N04LM6SC-DataSheet-v02_01-EN.pdf?fileId=8ac78c8c919c9f9d0191b2ac53fa0acc,active and preferred,IQDH45N04LM6SCATMA1,,Industrial,40,0.49,,OptiMOS™ 6,,1.6,1.3,2.3,0.58,129,,62,,,,,,N
IQD020N10NM5SC,https://www.infineon.com/dgdl/Infineon-IQD020N10NM5SC-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c919c9f9d0191b75facbe69f5,active and preferred,IQD020N10NM5SCATMA1,,Industrial,100,2.05,,OptiMOS™ 5,,3,2.2,3.8,,107,,,,,,,,N
IQD063N15NM5SC,https://www.infineon.com/dgdl/Infineon-IQD063N15NM5SC-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c919c9f9d0191b7814b9a6c5a,active and preferred,IQD063N15NM5SCATMA1,,Industrial,150,6.32,,OptiMOS™ 5,,3.8,3,4.6,,48,,,,,,,,N
IQDH29NE2LM5SC,https://www.infineon.com/dgdl/Infineon-IQDH29NE2LM5SC-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c919c9f9d0191b2c08fdf0c1c,active and preferred,IQDH29NE2LM5SCATMA1,,Industrial,25,0.29,,OptiMOS™ 5,,1.6,1.2,2,0.35,191,,88,,,,,,N
IQDH88N06LM5SC,https://www.infineon.com/dgdl/Infineon-IQDH88N06LM5SC-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c919c9f9d0191b66ebb9f5cba,active and preferred,IQDH88N06LM5SCATMA1,,Industrial,60,0.86,,OptiMOS™ 5,,1.7,1.1,2.3,1.24,152,,76,,,,,,N
IQD016N08NM5SC,https://www.infineon.com/dgdl/Infineon-IQD016N08NM5SC-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c919c9f9d0191b6dff5a3603c,active and preferred,IQD016N08NM5SCATMA1,,Industrial,80,1.57,,OptiMOS™ 5,,3,2.2,3.8,,106,,,,,,,,N
IQD009N06NM5SC,https://www.infineon.com/dgdl/Infineon-IQD009N06NM5SC-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c919c9f9d0191b653e47149d2,active and preferred,IQD009N06NM5SCATMA1,,Industrial,60,0.9,,OptiMOS™ 5,,2.8,2.1,3.3,,120,,,,,,,,N
F4-35MR07W2D7S8_B13/A,https://www.infineon.com/dgdl/Infineon-F4-35MR07W2D7S8_B13/A-DataSheet-v01_10-EN.pdf?fileId=8ac78c8c914a3ac801915a62fae373fb,active and preferred,F435MR07W2D7S8B13ABPSA1,,AQG 324,,,,H5/Rapid1 CoolMOS™,,,,,,,,,,,,,,
F4-35MR07W1D7S8_B11/A,https://www.infineon.com/dgdl/Infineon-F4-35MR07W1D7S8_B11/A-DataSheet-v01_10-EN.pdf?fileId=8ac78c8c914a3ac801915a6218f673e8,active and preferred,F435MR07W1D7S8B11ABPSA1,,AQG 324,,,,CoolMOS™,,,,,,,,,,,,,,
F4-50R07W1H5_B16/A,https://www.infineon.com/dgdl/Infineon-F4-50R07W1H5_B16/A-DataSheet-v01_10-EN.pdf?fileId=8ac78c8c914a3ac801915a62b14f73f8,active and preferred,F450R07W1H5B16ABPSA1,,AQG 324,,,,H5/Rapid1,,,,,,,,,,,,,,
IMBG65R009M1H,https://www.infineon.com/dgdl/Infineon-IMBG65R009M1H-DataSheet-v02_01-EN.pdf?fileId=8ac78c8c919c9f9d0191c1ea05ce2783,active,IMBG65R009M1HXTMA1,D2PAK 7-pin,Industrial,650,,,CoolSiC™ G1,,,,,,,,,,,,,,N
BSC076N04ND,https://www.infineon.com/dgdl/Infineon-BSC076N04ND-DS-v02_00-EN.pdf?fileId=5546d462689a790c016905fc2e050ce9,active and preferred,BSC076N04NDATMA1,SuperSO8 5x6,Industrial,40,7.6,20,OptiMOS™ 3,,3,,,,28,,,,,/cms/en/product/power/mosfet/n-channel/bsc076n04nd/#!simulation,5546d4694909da48014909dc0bb301f2=BSC076N04ND|5546d4694909da48014909dc0f5e0238=MOSFET|5546d4694909da48014909dc094d01c8=40.0,0.5,N+N
IPA95R450P7,https://www.infineon.com/dgdl/Infineon-IPA95R450P7-DataSheet-v02_03-EN.pdf?fileId=5546d462636cc8fb0164373e97df502b,active and preferred,IPA95R450P7XKSA1,TO220 FullPAK,Industrial,950,450,14,CoolMOS™ P7,"Single/dual stage_x000d_
Flyback_x000d_
PFC",3,2.5,3.5,,35,,,,,/cms/en/product/power/mosfet/n-channel/500v-950v/ipa95r450p7/#!simulation,5546d4694909da48014909dc0bb301f2=IPA95R450P7|5546d4694909da48014909dc0f5e0238=MOSFET|5546d4694909da48014909dc094d01c8=950.0,1.05,N
ISC017N04NM5,https://www.infineon.com/dgdl/Infineon-ISC017N04NM5-DataSheet-v02_01-EN.pdf?fileId=5546d46271104011017110e446d60004,active and preferred,ISC017N04NM5ATMA1,SuperSO8 FL,Industrial,40,1.7,193,OptiMOS™ 5,,,2.2,3.4,,51,,,,,/cms/en/product/power/mosfet/n-channel/isc017n04nm5/#!simulation,,0.55,N
IPD029N04NF2S,https://www.infineon.com/dgdl/Infineon-IPD029N04NF2S-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c8386267f0183a7dfd4282d82,active and preferred,IPD029N04NF2SATMA1,DPAK,Standard,40,2.9,131,StrongIRFET™ 2,,2.8,2.1,3.4,,45,,,,,,,,N
IRFP4768,https://www.infineon.com/dgdl/Infineon-IRFP4768-DS-v02_00-EN.pdf?fileId=5546d462533600a40153562c959b2021,active and preferred,IRFP4768PBF,TO247,Standard,250,17.5,93,IR MOSFET™,,4,3,5,,180,,,,,/cms/en/product/power/mosfet/n-channel/irfp4768/#!simulation,5546d4694909da48014909dc094d01c8=250.0,3.6,N
IPP120N04S4-02,https://www.infineon.com/dgdl/Infineon-IPP_B_I120N04S4_02-DS-v01_00-en.pdf?fileId=db3a304328c6bd5c01291c33093d5d37,active and preferred,IPP120N04S402AKSA1,TO220,Automotive,40,2.1,120,OptiMOS™-T2,,,2,4,,,103.0,,,,/cms/en/product/power/mosfet/automotive-mosfet/ipp120n04s4-02/#!simulation,5546d4694909da48014909dc0bb301f2=IPP120N04S4-02|5546d4694909da48014909dc0f5e0238=MOSFET|5546d4694909da48014909dc094d01c8=40.0,,N
IPD023N04NF2S,https://www.infineon.com/dgdl/Infineon-IPD023N04NF2S-DataSheet-v02_01-EN.pdf?fileId=8ac78c8c8386267f0183a7454a3f0a90,active and preferred,IPD023N04NF2SATMA1,DPAK,Standard,40,2.3,143,StrongIRFET™ 2,,2.8,2.2,3.4,,68,,,,,,,,N
IMBG120R220M1H,https://www.infineon.com/dgdl/Infineon-IMBG120R220M1H-DataSheet-v02_02-EN.pdf?fileId=5546d462749a7c2d0174b0ecffdf326f,active and preferred,IMBG120R220M1HXTMA1,D2PAK 7-pin,Industrial,1200,,13,CoolSiC™ G1,"Boost_x000d_
Buck_x000d_
Inverter_x000d_
LLC",,,,,,,,,,/cms/en/product/power/mosfet/silicon-carbide/discretes/imbg120r220m1h/#!simulation,5546d4694909da48014909dc0bb301f2=IMBG120R220M1H|5546d4694909da48014909dc0f5e0238=CoolSiC™ MOSFET|5546d4694909da48014909dc094d01c8=1200.0,,N
DF16MR12W1M1HF_B67,https://www.infineon.com/dgdl/Infineon-DF16MR12W1M1HF_B67-DataSheet-v00_10-EN.pdf?fileId=8ac78c8c85ecb34701867864edae3d89,active and preferred,DF16MR12W1M1HFB67BPSA1,,Industrial,,,,CoolSiC™ G1,,,,,,,,,,/iposim,/cms/en/product/power/mosfet/silicon-carbide/modules/df16mr12w1m1hf_b67/#!simulation,5546d4694909da48014909dc0f5e0238=CoolSiC MOSFET|5546d4624933b8750149389ffe6022e2=8.2|5546d4694909da48014909dc0bb301f2=DF16MR12W1M1HF_B67,,
IPB017N10N5,https://www.infineon.com/dgdl/Infineon-IPB017N10N5-DataSheet-v02_05-EN.pdf?fileId=5546d4624a75e5f1014ac4a981111eed,active and preferred,IPB017N10N5ATMA1,D2PAK 7-pin,Industrial,100,1.7,273,OptiMOS™ 5,,3,2.2,3.8,,168,,,,https://design.infineon.com/tinademo/designer.php?path=EXAMPLESROOT%7CINFINEON%7CApplications%7CIndustrial%7CPower%7C&file=power_MOSFET_compare_48V.tsc&act=change.U.Infineon.IPB017N10N5_L0,/cms/en/product/power/mosfet/n-channel/ipb017n10n5/#!simulation,5546d4694909da48014909dc0bb301f2=IPB017N10N5|5546d4694909da48014909dc094d01c8=100.0,2.61,N
IPD60R1K5PFD7S,https://www.infineon.com/dgdl/Infineon-IPD60R1K5PFD7S-DataSheet-v02_00-EN.pdf?fileId=5546d4626df6ee62016e225df2d46744,active and preferred,IPD60R1K5PFD7SAUMA1,DPAK,Standard,600,1500,3.6,CoolMOS™ PFD7,"Inverter Stage - Motor drive_x000d_
Active Clamp Flyback",4,3.5,4.5,,,,,,,/cms/en/product/power/mosfet/n-channel/500v-950v/ipd60r1k5pfd7s/#!simulation,,0.22,N
DF17MR12W1M1HF_B68,https://www.infineon.com/dgdl/Infineon-DF17MR12W1M1HF_B68-DataSheet-v00_10-EN.pdf?fileId=8ac78c8c85ecb34701867865ac783d9f,active and preferred,DF17MR12W1M1HFB68BPSA1,,Industrial,,,,CoolSiC™ G1,,,,,,,,,,/iposim,/cms/en/product/power/mosfet/silicon-carbide/modules/df17mr12w1m1hf_b68/#!simulation,5546d4694909da48014909dc0f5e0238=CoolSiC MOSFET|5546d4624933b8750149389ffe6022e2=4.1|5546d4694909da48014909dc0bb301f2=DF17MR12W1M1HF_B68,,
ISC046N13NM6,https://www.infineon.com/dgdl/Infineon-ISC046N13NM6-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c8d2fe47b018e754daa852a00,active and preferred,ISC046N13NM6ATMA1,,Industrial,135,4.6,142,OptiMOS™ 6,,3,2.5,3.5,,65,,,,,,,,N
SN7002N,https://www.infineon.com/dgdl/Infineon-SN7002N-DataSheet-v02_07-EN.pdf?fileId=db3a304330f6860601311934e76045d5,active and preferred,SN7002NH6327XTSA2,SOT-23,Automotive,60,5000,,Small Signal,,,0.8,1.8,,0.2,,,,,/cms/en/product/power/mosfet/small-signal-small-power/sn7002n/#!simulation,5546d4694909da48014909dc094d01c8=60.0|5546d4694909da48014909dc0bb301f2=SN7002N|5546d4694909da48014909dc0f5e0238=MOSFET,0.03,N
IAUC120N06S5N015,https://www.infineon.com/dgdl/Infineon-IAUC120N06S5N015-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c8fc2dd9c018fde5da2e2785f,active and preferred,IAUC120N06S5N015ATMA1,single SSO8,Automotive,60,1.5,120,OptiMOS™-5,,2.8,2.2,3.4,,74,96.0,,,,,,,N
IAUTN06S5N008T,https://www.infineon.com/dgdl/Infineon-IAUTN06S5N008T-DataSheet-v02_00-EN.pdf?fileId=8ac78c8c85ecb347018631414d0a0df7,active and preferred,IAUTN06S5N008TATMA1,TOLT,Automotive,60,0.79,503,OptiMOS™-5,,,2.2,3,,,210.0,,,,,,,N
BSS225,https://www.infineon.com/dgdl/Infineon-BSS225-DataSheet-v01_29-EN.pdf?fileId=db3a30433b47825b013b60c128d06dfa,active and preferred,BSS225H6327FTSA1,SOT-89,Automotive,600,45000,0.09,Small Signal,,,1.3,2.3,,3.9,,,,https://design.infineon.com/tinademo/tina.php?path=EXAMPLESROOT%7CINFINEON%7CApplications%7CLighting%7CLED%20Lighting%7C&file=lighting_led_filament_driver_BCR421_230VAC_hightemp.tsc,/cms/en/product/power/mosfet/small-signal-small-power/bss225/#!simulation,5546d4694909da48014909dc094d01c8=600.0|5546d4694909da48014909dc0bb301f2=BSS225|5546d4694909da48014909dc0f5e0238=MOSFET,0.15,N
IAUA220N08S5N021,https://www.infineon.com/dgdl/Infineon-IAUA220N08S5N021-DataSheet-v01_00-EN.pdf?fileId=5546d4627956d53f01798e39cb690b3e,active and preferred,IAUA220N08S5N021AUMA1,sTOLL,Automotive,80,2.1,220,OptiMOS™-5,,,2.2,3.8,,,81.0,,,,,,,N
